row ID,Score,Phenotype,Potency,Aromatic Atoms Count,Bond Polarizabilities,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds Count,Topological Polar Surface Area,Molecular Weight,XLogP,Formal Charge,SP3 Character,Eccentric Connectivity Index,Amine
1471,0,Inactive,,10,37.405175,381.2573629,4,2,7,83.8,437.1517622,5.042,0,0.2,590,1
1475,0,Inactive,,0,11.484449,152.6417345,6,2,7,89.62,173.0436557,-3.473,0,0.105263158,135,1
1491,42,Inhibitor,12.5893,6,29.738347,291.970585,2,1,15,56.84,318.1555126,3.242,0,0.186046512,398,1
1492,0,Inactive,,5,37.628968,281.385169,6,2,11,107.98,316.1569116,1.277,0,0.244444444,409,1
1523,0,Inactive,,6,13.836484,191.5022928,3,2,7,63.32,213.0556563,1.334,0,0.115384615,168,1
1527,42,Inhibitor,10,12,23.787312,269.8987267,3,1,2,36.86,313.0981898,3.515,0,0.105263158,342,1
1545,0,Inactive,,0,13.468449,99.02489232,4,2,4,88.77,125.0146641,-1.678,0,0.142857143,38,1
1546,0,Inactive,,0,10.136863,103.6811521,3,2,5,63.32,103.0633285,-0.668,0,0.1875,47,1
1553,0,Inactive,,12,25.803761,294.9199527,1,4,11,72.72,301.1677936,3.321,0,0.133333333,532,1
1557,0,Inactive,,6,38.003382,398.5926562,6,1,16,117,418.1740012,3.998,0,0.160714286,565,1
1558,0,Inactive,,6,29.52814,337.9144756,5,1,12,107.77,360.1321364,3.728,0,0.130434783,403,1
1560,10,Inhibitor,35.4813,10,20.358105,194.3428699,3,1,1,28.16,213.1265975,2.586,0,0.129032258,246,1
1562,0,Inactive,,6,23.617347,239.6058643,3,4,11,72.72,239.1521435,1.44,0,0.184210526,238,1
1569,0,Inactive,,0,22.297347,190.0356583,1,1,3,26.02,179.1673997,3.524,0,0.352941176,105,1
1572,0,Inactive,,5,11.619656,121.9205055,1,2,0,58.03,140.0585775,-0.629,0,0.166666667,83,1
1573,0,Inactive,,0,12.323277,135.6366627,3,2,6,63.32,129.0789786,0.05,0,0.15,74,1
1575,0,Inactive,,10,25.533347,254.1742154,2,2,9,41.49,259.1572289,3.028,0,0.15,345,1
1577,0,Inactive,,6,17.271691,175.1985996,2,1,2,15.27,196.0767261,2.377,0,0.153846154,153,1
1581,0,Inactive,,6,36.195003,313.7293288,3,2,14,50.72,307.2147438,2.366,0,0.235294118,556,1
1585,84,Inhibitor,5.0119,12,25.862726,278.2461912,1,1,11,21.26,309.1340489,4.647,0,0.125,398,1
1586,40,Inhibitor,25.1189,12,25.803761,278.4283244,1,1,5,12.03,277.1830497,5.059,0,0.181818182,337,1
1589,0,Inactive,,6,35.420175,316.0748746,6,4,10,103.29,339.1794209,-0.645,0,0.183673469,662,1
1590,83,Inhibitor,4.4668,6,29.66014,251.815664,5,3,10,86.81,272.1194635,1.051,0,0.157894737,300,1
1595,0,Inactive,,9,25.10014,233.2154651,2,3,9,57.28,248.1524779,1.915,0,0.157894737,308,1
1597,42,Inhibitor,12.5893,12,27.449347,268.8337413,1,1,9,30.49,271.1572289,3.369,0,0.12195122,300,1
1601,0,Inactive,,6,27.341726,320.618491,5,1,11,107.77,346.1164863,3.305,0,0.11627907,326,1
1602,0,Inactive,,10,26.328554,284.8612023,2,4,10,85.35,290.1630426,2.801,0,0.162790698,330,1
1605,0,Inactive,,6,18.364898,186.1953599,3,1,3,42.15,211.0876251,2.305,0,0.178571429,183,1
1607,83,Inhibitor,8.9125,6,35.19214,341.1989988,3,2,15,59.59,414.1378118,4.622,0,0.208333333,584,1
